ing_amount,ingredients,preparation,title,url
"2 oz.,4.5 oz.,0.5 oz.","Southern Comfort,Cranberry Juice,Lime Juice"," Fill your highball glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the Southern Comfort, cranberry juice and lime juice into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the highball glass,Lastly, garnish your cocktail with a lime wedge",Scarlett O'Hara,https://www.makemycocktail.com/cocktails/ScarlettOHara.php
"1.5 oz.,1.5 oz.,0.25 oz.,2 dash","Brandy,Cream,Simple Syrup,Vanilla Extract*"," Fill your rocks glass with ice,Fill a shaker 2/3 full with cracked ice,Add the brandy, cream, simple syrup and vanilla extract (optional) to the shaker,Shake your cocktail for 30-45 seconds,Strain the shaker contents into the rocks glass,Lastly, garnish your cocktail with grated nutmeg",Brandy Milk Punch,https://www.makemycocktail.com/cocktails/BrandyMilkPunch.php
"0.5 oz.,0.5 oz.,0.5 oz.,0.5 oz.,0.5 oz.,0.75 oz.,0.75 oz.,2 oz.","Gin,Vodka,Tequila,Rum,Orange Liqueur,Lemon Juice,Simple Syrup,Pineapple Juice"," Fill your highball glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the ingredients into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the highball glass,Lastly, garnish your cocktail with a pineapple wedge",Hawaiian Long Island,https://www.makemycocktail.com/cocktails/HawaiianLongIsland.php
"1.5 oz.,5 oz.","Sloe Berry Liqueur,Orange Juice"," Fill your highball glass with ice,Pour the sloe berry liqueur and orange juice directly into the glass,Gently stir with a straw,Lastly, garnish your cocktail with an orange wheel",Sloe Driver,https://www.makemycocktail.com/cocktails/SloeDriver.php
"1.5 oz.,0.75 oz.,2 oz.,0.25 oz.","Rum,Orange Liqueur,Pineapple Juice,Lime Juice"," Fill your rocks glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the rum, orange liqueur, pineapple juice and lime juice into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the rocks glass,Lastly, garnish your cocktail with an orange twist",Cuban Special,https://www.makemycocktail.com/cocktails/CubanSpecial.php
"2 oz.,5 oz.","Gin,Grapefruit Juice"," Fill your highball glass with ice,Pour the gin and grapefruit juice directly into the glass,Gently stir with a straw,Lastly, garnish your cocktail with a grapefruit wedge",Greyhound,https://www.makemycocktail.com/cocktails/Greyhound.php
"2 oz.,2 oz.,0.5 oz.,4 oz.,3 dash","Whiskey,Cranberry Juice,Lime Juice,Ginger Beer,Bitters"," Fill your copper mug with ice,Pour the bourbon, cranberry juice and lime juice into the mug,Top off the mug with ginger beer,Add 3 dashes of orange bitters,Gently stir,Lastly, garnish your cocktail with rosemary and cranberries",Yule Mule,https://www.makemycocktail.com/cocktails/YuleMule.php
"2 oz.,0.5 oz.,1 oz.,0.25 oz.","Rum,Chocolate Liqueur,Lime Juice,Simple Syrup"," Chill your coupe glass before preparing the cocktail,Fill your cocktail shaker 2/3 full with cracked ice,Pour the rum, creme de cacao, lime juice and simple syrup into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the chilled coupe glass,Lastly, garnish your cocktail with a lime wheel",Scorpion Kick,https://www.makemycocktail.com/cocktails/ScorpionKick.php
"1 oz.,1 oz.,1 oz.,0.5 oz.","Brandy,Rum,Orange Liqueur,Lemon Juice"," Chill your coupe glass before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the cognac, rum, orange liqueur and lemon juice to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the chilled coupe glass,Lastly, garnish your cocktail with an orange twist",Between The Sheets,https://www.makemycocktail.com/cocktails/BetweenTheSheets.php
"1 oz.,1.5 oz.,0.25 oz.,3.5 oz.","Brandy,Orange Juice,Simple Syrup,Champagne"," Chill your champagne flute before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the Cognac, orange juice and simple syrup to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the champagne flute,Top off the flute with champagne,Lastly, garnish your cocktail with an orange twist",Champagne Pick-Me-Up,https://www.makemycocktail.com/cocktails/ChampagnePickMeUp.php
"2 oz.,0.75 oz.,0.75 oz.,3 oz.","Vodka,Lemon Juice,Simple Syrup,Soda Water"," Fill your collins glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the vodka, lemon juice and simple syrup into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the collins glass,Top off the glass with soda water,Gently stir with a straw,Lastly, garnish your cocktail with a cherry and a lemon wedge",Vodka Collins,https://www.makemycocktail.com/cocktails/VodkaCollins.php
"0.75 oz.,0.75 oz.,0.5 oz.,3 oz.,0.5 oz.,0.5 oz.","Rum,Vodka,Orange Liqueur,Pineapple Juice,Lemon Juice,Simple Syrup"," Fill your hurricane glass with ice,Fill a shaker 2/3 full with cracked ice,Add the ingredients to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the hurricane glass,Lastly, garnish your cocktail with a pineapple wedge and a cherry",Blue Hawaii,https://www.makemycocktail.com/cocktails/BlueHawaii.php
"2 oz.,1 oz.,4 oz.","Vodka,Orange Juice,Cranberry Juice"," Fill your highball glass with ice,Pour the vodka, cranberry juice and orange juice directly into the glass,Gently stir with a straw,Lastly, garnish your cocktail with an orange wheel",Madras,https://www.makemycocktail.com/cocktails/Madras.php
"0.5 oz.,3 oz.,3 oz.","Orange Liqueur,Cranberry Juice,Champagne"," Chill your champagne flute before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the cranberry juice and Cointreau to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the champagne flute,Top off the flute with champagne,Lastly, garnish your cocktail with rosemary and cranberries",Poinsettia,https://www.makemycocktail.com/cocktails/Poinsettia.php
"1.5 oz.,0.5 oz.,0.5 oz.,1 oz.","Tequila,Melon Liqueur,Orange Liqueur,Lime Juice","Firstly, prepare your glass by salting the rim, Fill your rocks glass with ice,Fill a shaker 2/3 full with cracked ice,Add the tequila, melon liqueur, Cointreau and lime juice to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the rocks glass,Lastly, garnish your cocktail with a lime wedge",Melon Margarita,https://www.makemycocktail.com/cocktails/MelonMargarita.php
"2 oz.,1 oz.,4.5 oz.","Melon Liqueur,Vodka,Pineapple Juice"," Fill your highball glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the melon liqueur, vodka and pineapple juice into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the highball glass,Lastly, garnish your cocktail with a pineapple wedge and a cherry",Pearl Harbor,https://www.makemycocktail.com/cocktails/PearlHarbor.php
"1.5 oz.,2 oz.,0.75 oz.,2 oz.,8 leaves","Coconut Liqueur,Cream of Coconut,Lime Juice,Soda Water,Mint Sprig"," Fill your highball glass with ice,Lightly muddle 8 mint leaves in bottom of a cocktail shaker with lime juice,Pour the coconut liqueur and cream of coconut into the cocktail shaker,Fill your cocktail shaker 2/3 full with cracked ice,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the highball glass,Top off the glass with soda water,Lastly, garnish your cocktail with a sprig of mint",Coconut Mojito,https://www.makemycocktail.com/cocktails/CoconutMojito.php
"1.5 oz.,1 oz.,0.5 oz.,1 whole","Gin,Cream,Grenadine,Egg White*"," Chill your martini glass before preparing the cocktail,Add the gin, cream, grenadine and egg white to the shaker,Shake your cocktail without ice for 20-25 seconds,Fill a shaker 2/3 full with cracked ice,Shake your cocktail for 20-25 seconds,Strain the shaker contents into the chilled martini glass,Lastly, garnish your cocktail with a cherry",Pink Lady,https://www.makemycocktail.com/cocktails/PinkLady.php
"2 oz.,1 oz.,1 oz.","Tequila,Orange Liqueur,Lime Juice","Firstly, prepare your glass by salting the rim, Fill your rocks glass with ice,Fill a shaker 2/3 full with cracked ice,Add the tequila, Blue Curacao, Cointreau and lime juice to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the rocks glass,Lastly, garnish your cocktail with a lime wedge",Blue Margarita,https://www.makemycocktail.com/cocktails/BlueMargarita.php
"1 oz.,1 oz.,1 oz.","Herbal Liqueur,Chocolate Liqueur,Cream"," Chill your martini glass before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the Galliano, Creme De Cacao and cream to the shaker,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the chilled martini glass,Lastly, garnish your cocktail with chocolate shavings",Golden Cadillac,https://www.makemycocktail.com/cocktails/GoldenCadillac.php
"2 oz.,2 oz.,0.5 oz.","Tequila,Coffee Liqueur,Mint Liqueur"," Fill your rocks glass with ice,Fill a shaker 2/3 full with cracked ice,Add the tequila, coffee liqueur and green creme de menthe to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the rocks glass",Spanish Moss,https://www.makemycocktail.com/cocktails/SpanishMoss.php
"1 oz.,1 oz.,1 oz.","Vodka,Chocolate Liqueur,Cream"," Chill your martini glass before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the vodka, dark creme de cacao and cream to the shaker,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the chilled martini glass",Russian Bear,https://www.makemycocktail.com/cocktails/RussianBear.php
"2 oz.,5 oz.","Rum,Ginger Ale"," Fill your highball glass with ice,Pour the rum directly into the glass,Top off the glass with ginger ale,Lastly, garnish your cocktail with a lemon twist",Rum Highball,https://www.makemycocktail.com/cocktails/RumHighball.php
"1 oz.,1 oz.,1 oz.","Mint Liqueur,Chocolate Liqueur,Cream"," Chill your martini glass before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the green creme de menthe, white creme de cacao and cream to the shaker,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the chilled martini glass,Lastly, garnish your cocktail with a mint leaf",Grasshopper,https://www.makemycocktail.com/cocktails/Grasshopper.php
"2 oz.,5 oz.","Whiskey,Ginger Ale"," Fill your highball glass with ice,Pour the whiskey directly into the glass,Top off the glass with ginger ale,Lastly, garnish your cocktail with a lemon wedge",Whiskey Highball,https://www.makemycocktail.com/cocktails/WhiskeyHighball.php
"2 oz.,1 oz.","Vodka,Mint Liqueur"," Fill your rocks glass with ice,Fill a mixing glass 2/3 full with cracked ice,Add the vodka and white creme de menthe to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the rocks glass,Lastly, garnish your cocktail with a mint leaf",Vodka Stinger,https://www.makemycocktail.com/cocktails/VodkaStinger.php
"1.5 oz.,0.25 oz.,0.5 oz.,1 dash","Gin,Orange Liqueur,Dry Vermouth,Bitters"," Chill your martini glass before preparing the cocktail,Fill a mixing glass 2/3 full with cracked ice,Add the gin, blue curacao, dry vermouth and bitters to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the martini glass,Lastly, garnish your cocktail with a lemon twist",Yale Cocktail,https://www.makemycocktail.com/cocktails/YaleCocktail.php
"2 oz.,5 oz.","Whiskey,Soda Water"," Fill your highball glass with ice,Pour the whiskey directly into the glass,Top off the glass with soda water,Lastly, garnish your cocktail with a lemon twist",Whiskey & Soda,https://www.makemycocktail.com/cocktails/WhiskeySoda.php
"1 oz.,1 oz.,1 oz.","Coffee Liqueur,Mint Liqueur,Cream"," Chill your martini glass before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the coffee liqueur, green creme de menthe and cream to the shaker,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the chilled martini glass,Lastly, garnish your cocktail with a mint leaf",Dirty Grasshopper,https://www.makemycocktail.com/cocktails/DirtyGrasshopper.php
"1.5 oz.,4 oz.,1 oz.","Tequila,Orange Juice,Herbal Liqueur"," Fill your highball glass with ice,Pour the tequila and orange juice directly into the glass,Gently stir with a straw,Slowly pour herbal liqueur over the back of a barspoon to float the liqueur on top of the cocktail,Lastly, garnish your cocktail with an orange wheel",Freddy Fudpucker,https://www.makemycocktail.com/cocktails/FreddyFudpucker.php
"2 oz.,2 oz.,2 oz.","Coffee Liqueur,Almond Liqueur,Cream"," Fill your rocks glass with ice,Fill a shaker 2/3 full with cracked ice,Add the amaretto, coffee liqueur and cream to the shaker,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the rocks glass",Toasted Almond,https://www.makemycocktail.com/cocktails/ToastedAlmond.php
"2 oz.,4 oz.,1 oz.,1 oz.","Rum,Pineapple Juice,Orange Juice,Cream of Coconut"," Fill your hurricane glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the rum, pineapple juice, orange juice and cream of coconut into the cocktail shaker,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the hurricane glass,Lastly, garnish your cocktail with grated nutmeg",Painkiller,https://www.makemycocktail.com/cocktails/Painkiller.php
"2 oz.,0.5 oz.,0.5 oz.,3 dash","Whiskey,Sweet Vermouth,Dry Vermouth,Bitters"," Chill your coupe glass before preparing the cocktail,Fill a mixing glass 2/3 full with cracked ice,Add the whiskey, vermouths and bitters to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the chilled coupe glass,Lastly, garnish your cocktail with a cherry",Perfect Manhattan,https://www.makemycocktail.com/cocktails/PerfectManhattan.php
"1.5 oz.,0.5 oz.,5 oz.","Sloe Berry Liqueur,Lime Juice,Ginger Ale"," Fill your highball glass with ice,Pour the sloe berry liqueur directly into the glass,Top off the glass with ginger ale,Lastly, garnish your cocktail with a lime wedge",Cloudy Sky,https://www.makemycocktail.com/cocktails/CloudySky.php
"1.5 oz.,1 oz.,4 oz.","Vodka,Sloe Berry Liqueur,Orange Juice"," Fill your highball glass with ice,Pour the vodka, sloe berry liqueur and orange juice directly into the glass,Gently stir with a straw,Lastly, garnish your cocktail with an orange wheel",Sloe Screw,https://www.makemycocktail.com/cocktails/SloeScrew.php
"1.5 oz.,1 oz.,4 oz.","Rum,Southern Comfort,Pineapple Juice"," Fill your highball glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the rum, Southern Comfort and pineapple juice into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the highball glass,Lastly, garnish your cocktail with a pineapple wedge",Comfortable Pirate,https://www.makemycocktail.com/cocktails/ComfortablePirate.php
"1.5 oz.,0.75 oz.,0.75 oz.,2 oz.,1 oz.,0.5 oz.","Vodka,Almond Liqueur,Melon Liqueur,Cranberry Juice,Orange Juice,Lime Juice"," Fill your highball glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the ingredients into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the highball glass,Lastly, garnish your cocktail with a lime wedge",Koolaid,https://www.makemycocktail.com/cocktails/Koolaid.php
"2 oz.,0.25 oz.,3 dash","Whiskey,Simple Syrup,Bitters"," Fill your rocks glass with large ice,Fill a mixing glass 2/3 full with cracked ice,Add the whiskey, simple syrup and bitters to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the rocks glass,Lastly, garnish your cocktail with an orange twist",Old Fashioned,https://www.makemycocktail.com/cocktails/OldFashioned.php
"0.5 oz.,5.5 oz.","Raspberry Liqueur,Champagne"," Chill your champagne flute before preparing the cocktail,Pour the champagne and raspberry liqueur directly into the champagne flute,Lastly, garnish your cocktail with fresh raspberries",Kir Royale,https://www.makemycocktail.com/cocktails/KirRoyale.php
"2 oz.,1 oz.,0.5 oz.","Rum,Cream,Simple Syrup"," Fill your rocks glass with ice,Fill a shaker 2/3 full with cracked ice,Add the rum, cream and simple syrup to the shaker,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the rocks glass,Lastly, garnish your cocktail with a cherry",Cream Puff,https://www.makemycocktail.com/cocktails/CreamPuff.php
"2.25 oz.,0.75 oz.","Almond Liqueur,Mint Liqueur"," Fill your rocks glass with ice,Fill a mixing glass 2/3 full with cracked ice,Add the amaretto and white creme de menthe to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the rocks glass",Amaretto Stinger,https://www.makemycocktail.com/cocktails/AmarettoStinger.php
"2 oz.,1 oz.,4 oz.","Vodka,Peach Schnapps,Cranberry Juice"," Fill your highball glass with ice,Pour the vodka, peach schnapps and cranberry juice directly into the glass,Gently stir with a straw,Lastly, garnish your cocktail with a lime wedge",Woo Woo,https://www.makemycocktail.com/cocktails/WooWoo.php
"1 oz.,0.5 oz.,0.5 oz.,3 oz.","Vodka,Lemon Juice,Simple Syrup,Champagne"," Chill your champagne flute before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the vodka, lemon juice and simple syrup to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the champagne flute,Top off the flute with champagne,Lastly, garnish your cocktail with a lemon twist",French 76,https://www.makemycocktail.com/cocktails/French76.php
"2 oz.,0.75 oz.,8 leaves","Brandy,Simple Syrup,Mint Sprig"," Add the cognac, simple syrup and mint to an empty rocks glass,Lightly muddle the ingredients in the rocks glass,Fill the rocks glass 2/3 full with cracked ice,Stir your cocktail for 30-45 seconds,Top off the rocks glass with more crushed ice,Lastly, garnish your cocktail with a sprig of mint",Brandy Julep,https://www.makemycocktail.com/cocktails/BrandyJulep.php
"1 oz.,1 oz.,0.5 oz.,0.5 oz.","Rum,Mint Liqueur,Chocolate Liqueur,Cream"," Chill your martini glass before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the dark rum, white creme de menthe, dark creme de cacao and cream to the shaker,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the chilled martini glass,Lastly, garnish your cocktail with a mint leaf",Chocolate Mint Rum,https://www.makemycocktail.com/cocktails/ChocolateMintRum.php
"2 oz.,4 oz.,3 oz.,2 cup","Rum,Pineapple Juice,Cream of Coconut,Ice*"," Chill your hurricane glass before preparing the cocktail,Add the white rum, pineapple juice, cream of coconut and two cups of ice to the blender,Blend ingredients until the contents are smoothly blended,Pour the blender contents into the chilled hurricane glass,Lastly, garnish your cocktail with a pineapple wedge and a cherry",Pina Colada (Frozen),https://www.makemycocktail.com/cocktails/PinaColada.php
"2 oz.,1 oz.,3 dash","Rum,Sweet Vermouth,Bitters"," Chill your coupe glass before preparing the cocktail,Fill a mixing glass 2/3 full with cracked ice,Add the rum, sweet vermouth and bitters to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the chilled coupe glass,Lastly, garnish your cocktail with a cherry",Rum Manhattan,https://www.makemycocktail.com/cocktails/RumManhattan.php
"2 oz.,0.75 oz.,0.75 oz.,0.5 oz.,8 leaves","Rum,Lime Juice,Pineapple Juice,Simple Syrup,Mint Sprig"," Fill your highball glass with ice,Lightly muddle 8 mint leaves in bottom of a cocktail shaker with lime juice and simple syrup,Pour the rum and pineapple juice into the cocktail shaker,Fill your cocktail shaker 2/3 full with cracked ice,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the highball glass,Top off the glass with soda water,Lastly, garnish your cocktail with a sprig of mint and a pineapple wedge",Pineapple Mojito,https://www.makemycocktail.com/cocktails/PineappleMojito.php
"1.5 oz.,0.5 oz.,0.5 oz.,0.5 oz.,0.75 oz.,0.15 oz.,1 whole,3 oz.","Gin,Lemon Juice,Lime Juice,Cream,Simple Syrup,Orange Juice,Egg White*,Soda Water"," Chill a narrow highball glass before preparing the cocktail,Add the ingredients (excluding soda water) to the shaker,Shake your cocktail without ice for 20-25 seconds,Fill a shaker 2/3 full with cracked ice,Shake your cocktail for 45-60 seconds,Strain the shaker contents into the highball glass,Slowly top off the glass with soda water to create a foam layer,Allow the cocktail to settle (about 30 seconds) and top with more soda water,Lastly, garnish your cocktail with an orange peel",Ramos Gin Fizz,https://www.makemycocktail.com/cocktails/RamosGinFizz.php
"2 oz.,0.75 oz.,0.75 oz.,3 oz.","Rum,Lemon Juice,Simple Syrup,Soda Water"," Fill your collins glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the rum, lemon juice and simple syrup into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the collins glass,Top off the glass with soda water,Gently stir with a straw,Lastly, garnish your cocktail with a cherry and a lemon wedge",Rum Collins,https://www.makemycocktail.com/cocktails/RumCollins.php
"0.5 oz.,0.5 oz.,0.5 oz.,0.5 oz.,0.5 oz.,0.75 oz.,0.75 oz.,2 oz.","Gin,Vodka,Tequila,Rum,Raspberry Liqueur,Lemon Juice,Simple Syrup,Lemon-Lime Soda"," Fill your highball glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the ingredients (excluding lemon-lime soda) into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the highball glass,Top off the glass with lemon-lime soda,Gently stir with a straw,Lastly, garnish your cocktail with a lemon wedge",Purple Rain,https://www.makemycocktail.com/cocktails/PurpleRain.php
"2 oz.,1 oz.,1 oz.","Whiskey,Orange Juice,Cream"," Fill your rocks glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the peach whiskey, orange juice and cream into the cocktail shaker,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the rocks glass,Note: For a different look, try shaking without cream and floating it on top by pouring slowly on the back of a barsoon",Peach Creamsicle,https://www.makemycocktail.com/cocktails/PeachCreamsicle.php
"2 oz.,5 oz.","Rum,Tonic Water"," Fill your highball glass with ice,Pour the rum directly into the glass,Top off the glass with tonic water,Lastly, garnish your cocktail with a lime wedge",Rum and Tonic,https://www.makemycocktail.com/cocktails/RumTonic.php
"2 oz.,1 oz.","Gin,Dry Vermouth"," Chill your martini glass before preparing the cocktail,Fill a mixing glass 2/3 full with cracked ice,Add the gin and dry vermouth to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the chilled martini glass,Lastly, garnish your cocktail with a silverskin onion",Gibson,https://www.makemycocktail.com/cocktails/Gibson.php
"1.5 oz.,0.5 oz.,0.5 oz.,1 oz.","Tequila,Orange Liqueur,Lime Juice,Cream of Coconut"," Fill your rocks glass with ice,Fill a shaker 2/3 full with cracked ice,Add the tequila, Cointreau, lime juice and cream of coconut to the shaker,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the rocks glass,Lastly, garnish your cocktail with a lime wheel",Coconut Margarita,https://www.makemycocktail.com/cocktails/CoconutMargarita.php
"1 oz.,1 oz.,2 oz.,1 oz.","Rum,Orange Liqueur,Pineapple Juice,Cream of Coconut"," Fill your hurricane glass with ice,Fill a shaker 2/3 full with cracked ice,Add the white rum, blue curacao, pineapple juice and cream of coconut to the shaker,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the hurricane glass,Lastly, garnish your cocktail with a pineapple wedge and a cherry",Blue Hawaiian,https://www.makemycocktail.com/cocktails/BlueHawaiian.php
"1.5 oz.,1.5 oz.","Irish Cream,Mint Liqueur"," Fill your rocks glass with ice,Fill a shaker 2/3 full with cracked ice,Add the irish cream and white creme de menthe to the shaker,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the rocks glass,Lastly, garnish your cocktail with a mint leaf",Irish Stinger,https://www.makemycocktail.com/cocktails/IrishStinger.php
